id,LLScore_Original,PPL_Original,LLScore_Randomized,PPL_Randomized,LLScore_Change,PPL_Change
8600003,-550.1626453399658,26.437347412109375,-561.9807929992676,28.364086151123047,-11.818147659301758,1.9267387390136719
8600004,-516.6920919418335,20.166519165039062,-557.1028060913086,25.507431030273438,-40.4107141494751,5.340911865234375
8600008,-586.6525268554688,39.117828369140625,-624.5869445800781,49.58401107788086,-37.934417724609375,10.466182708740234
8600013,-628.2298972606659,30.967870712280273,-667.8558330535889,39.23375701904297,-39.625935792922974,8.265886306762695
8600014,-644.4886207580566,73.44896697998047,-686.486005783081,97.18082427978516,-41.997385025024414,23.731857299804688
8600018,-382.10092067718506,23.52018165588379,-419.184184551239,31.955110549926758,-37.083263874053955,8.434928894042969
8600029,-578.9508125782013,18.343963623046875,-625.7220070362091,23.20416259765625,-46.77119445800781,4.860198974609375
8600031,-479.6845750808716,25.562129974365234,-500.20938873291016,29.364696502685547,-20.524813652038574,3.8025665283203125
8600032,-489.652544260025,50.26054382324219,-489.652544260025,50.26054382324219,0.0,0.0
8600034,-860.6571886539459,30.018295288085938,-918.3155338764191,37.701717376708984,-57.658345222473145,7.683422088623047
8600036,-898.7014243602753,42.95946502685547,-919.0380866527557,46.77494430541992,-20.33666229248047,3.815479278564453
8600037,-578.9386310577393,31.37662696838379,-601.9094638824463,35.97392654418945,-22.97083282470703,4.597299575805664
8600039,-657.7530999183655,43.824378967285156,-676.7344892024994,47.80136489868164,-18.98138928413391,3.9769859313964844
8600042,-852.6085913181305,32.46086120605469,-899.293304681778,39.274871826171875,-46.68471336364746,6.8140106201171875
8600045,-621.5615105628967,72.7210693359375,-629.7847032546997,76.96438598632812,-8.223192691802979,4.243316650390625
8600048,-431.0362868309021,14.074918746948242,-451.97544980049133,16.004268646240234,-20.939162969589233,1.9293498992919922
8600052,-702.4290075302124,34.7306022644043,-735.8549237251282,41.117713928222656,-33.42591619491577,6.387111663818359
8600055,-931.3425529003143,52.62334442138672,-950.9482789039612,57.20197677612305,-19.60572600364685,4.578632354736328
8600058,-788.0018739700317,58.08255386352539,-796.1712074279785,60.58063507080078,-8.169333457946777,2.4980812072753906
8600060,-455.9169616699219,35.22835159301758,-453.7077331542969,34.625545501708984,2.209228515625,-0.6028060913085938
8600061,-473.24333000183105,32.45096969604492,-489.0284004211426,36.44473648071289,-15.785070419311523,3.9937667846679688
8600062,-369.33290243148804,28.719371795654297,-374.02130603790283,29.96990394592285,-4.688403606414795,1.2505321502685547
8600065,-445.9787006378174,26.555984497070312,-452.9498977661133,27.95270347595215,-6.971197128295898,1.396718978881836
8600068,-611.4364802837372,27.250232696533203,-630.9987020492554,30.289581298828125,-19.56222176551819,3.039348602294922
8600072,-1019.9685316085815,27.42859649658203,-1076.218957901001,32.92451095581055,-56.250426292419434,5.495914459228516
8600074,-468.7175123691559,15.503069877624512,-505.7874541282654,19.25597381591797,-37.0699417591095,3.752903938293457
8600079,-555.7279815673828,18.072954177856445,-602.5221610069275,23.442867279052734,-46.79417943954468,5.369913101196289
8600080,-800.1747703552246,20.481611251831055,-915.4185652732849,31.231374740600586,-115.2437949180603,10.749763488769531
8600081,-501.43582916259766,17.271663665771484,-532.1461067199707,20.56431770324707,-30.710277557373047,3.292654037475586
8600082,-708.0242729187012,30.083078384399414,-718.6984519958496,31.667186737060547,-10.674179077148438,1.5841083526611328
8600083,-424.11138916015625,44.110984802246094,-453.93001556396484,57.56683349609375,-29.818626403808594,13.455848693847656
8600085,-534.1106033325195,28.168132781982422,-561.3411288261414,32.67436599731445,-27.230525493621826,4.506233215332031
